name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
,"Al Falah St, Mubarak Bin Mohammed St, Behind Khalidiyah Mall - United Arab Emirates",bostondentaluae.com,+971 2 666 7070,,4.8,38.7237426,-8.3825458
,"3 Post Office Square 9th Floor, Boston, MA 02109, United States",godental365.com,+1 617-426-6011,,4.9,42.3566681,-144.8846123
,"36 Chauncy St, Boston, MA 02111, United States",bostondental.com,+1 617-338-5000,,4.9,42.3566681,-144.8846123
,"274 Newbury St, Boston, MA 02116, United States",gentledental.com,+1 617-514-2895,,4.7,42.3566681,-144.8846123
,"451 D St #200, Boston, MA 02210, United States",seaportdental.com,+1 617-737-6453,,4.9,42.3566681,-144.8846123
,"585 Boylston St # 2, Boston, MA 02116, United States",bostonsmile.com,+1 857-349-2131,,4.9,42.3566681,-144.8846123
,"22 Boston Wharf Rd, Boston, MA 02210, United States",bostondental.com,+1 617-706-5000,,4.9,42.3566681,-144.8846123
,"128A Tremont St Floor 2, Boston, MA 02108, United States",suffolkdental.com,+1 617-423-0505,,5.0,42.3566681,-144.8846123
,"930 Commonwealth Ave # 1A, Boston, MA 02215, United States",,+1 617-358-1000,,5.0,42.3566681,-144.8846123
,"185 Devonshire St STE 410, Boston, MA 02110, United States",devonshiredental.net,+1 617-350-7474,,5.0,42.3566681,-144.8846123
